"head"	"genomeSize"	"description"
"Andes virus"	12104	"Andes virus segment L"
"Angelonia flower break virus"	3964	"Angelonia flower break virus"
"Anguillid herpesvirus 1"	248531	"Anguillid herpesvirus 1"
"Anopheles gambiae densonucleosis virus"	4139	"Anopheles gambiae densonucleosis virus"
"Antheraea pernyi nucleopolyhedrovirus"	126629	"Antheraea pernyi nucleopolyhedrovirus"
"Anticarsia gemmatalis nucleopolyhedrovirus"	132239	"Anticarsia gemmatalis nucleopolyhedrovirus"
"Aphid lethal paralysis virus"	9812	"Aphid lethal paralysis virus"
"Apoi virus"	10116	"Apoi virus"
"Apple chlorotic leaf spot virus"	7555	"Apple chlorotic leaf spot virus"
"Apple latent spherical virus"	10196	"Apple latent spherical virus segment 1"
"Apple mosaic virus"	8511	"Apple mosaic virus RNA 1"
"Apple stem grooving virus"	6495	"Apple stem grooving virus"
"Apple stem pitting virus"	9306	"Apple stem pitting virus"
"Apricot pseudo-chlorotic leaf spot virus"	7494	"Apricot pseudo-chlorotic leaf spot virus"
"Aquareovirus A"	19378	"Aquareovirus A segment 1"
"Arabis mosaic virus"	12558	"Arabis mosaic virus large satellite RNA"
"Archaeal BJ1 virus"	42271	"Archaeal BJ1 virus"
"Artichoke mottled crinkle virus"	4789	"Artichoke mottled crinkle virus"
"Asparagus virus"	8654	"Asparagus virus 2 RNA 1"
"Asparagus virus 3"	6937	"Asparagus virus 3"
"Astrovirus MLB1"	6171	"Astrovirus MLB1"
"Astrovirus MLB1 HK05"	6171	"Astrovirus MLB1 HK05"
"Astrovirus VA1"	6586	"Astrovirus VA1"
"Ateline herpesvirus 3"	108409	"Ateline herpesvirus 3"
"Atkinsonella hypoxylon partitivirus"	6105	"Atkinsonella hypoxylon partitivirus RNA 1"
"Atlantic salmon swim bladder sarcoma virus"	10305	"Atlantic salmon swim bladder sarcoma virus"
"Aura virus"	11824	"Aura virus"
"Australian bat lyssavirus"	11822	"Australian bat lyssavirus"
"Autographa californica nucleopolyhedrovirus"	133894	"Autographa californica nucleopolyhedrovirus"
"Avian adeno-associated virus ATCC VR-865"	4694	"Avian adeno-associated virus ATCC VR-865"
"Avian adeno-associated virus strain DA-1"	4682	"Avian adeno-associated virus strain DA-1"
"Avian carcinoma virus"	2630	"Avian carcinoma virus"
"Avian encephalomyelitis virus"	7055	"Avian encephalomyelitis virus"
"Avian endogenous retrovirus EAV-HP"	4302	"Avian endogenous retrovirus EAV-HP"
"Avian infectious bronchitis virus"	27608	"Avian infectious bronchitis virus"
"Avian leukosis virus - RSA"	7286	"Avian leukosis virus - RSA"
"Avian metapneumovirus"	14071	"Avian metapneumovirus"
"Avian myelocytomatosis virus"	3392	"Avian myelocytomatosis virus"
"Avian paramyxovirus 6"	16236	"Avian paramyxovirus 6"
"Avian sapelovirus"	8289	"Avian sapelovirus"
"Azospirillum phage"	62337	"Azospirillum phage Cd"
"Bacillus phage"	956840	"Bacillus phage 0305phi8-36"
"Bacillus prophage"	99867	"Bacillus prophage phBC6A51"
"Bacillus virus 1"	35055	"Bacillus virus 1"
"Bacteriophage"	120518	"Bacteriophage Aaphi23"
"Bacteroides phage"	44929	"Bacteroides phage B40-8"
"Bagaza virus"	10941	"Bagaza virus"
"Bamboo mosaic virus"	7202	"Bamboo mosaic virus"
"Banana bract mosaic virus"	9711	"Banana bract mosaic virus"
"Banana bunchy top virus"	6396	"Banana bunchy top virus DNA 1"
"Banana mild mosaic virus"	7352	"Banana mild mosaic virus"
"Banana streak GF virus"	7263	"Banana streak GF virus"
"Banana streak Mysore virus"	7650	"Banana streak Mysore virus"
"Banana streak OL virus"	7389	"Banana streak OL virus"
"Banana streak virus"	7722	"Banana streak virus"
"Banana streak virus strain Acuminata Vietnam"	7801	"Banana streak virus strain Acuminata Vietnam"
"Bandicoot papillomatosis carcinomatosis virus type 1"	7295	"Bandicoot papillomatosis carcinomatosis virus type 1"
"Bandicoot papillomatosis carcinomatosis virus type 2"	7277	"Bandicoot papillomatosis carcinomatosis virus type 2"
"Banna virus"	20682	"Banna virus segment 1"
"Barfin flounder nervous necrosis virus"	4534	"Barfin flounder nervous necrosis virus RNA 1"
"Barfin flounder virus"	4533	"Barfin flounder virus BF93Hok RNA1"
"Barley dwarf virus"	2734	"Barley dwarf virus"
"Barley mild mosaic virus"	10786	"Barley mild mosaic virus RNA 1"
"Barley stripe mosaic virus"	10221	"Barley stripe mosaic virus RNA 1"
"Barley yellow dwarf virus - MAV"	5273	"Barley yellow dwarf virus - MAV"
"Barley yellow dwarf virus - PAV"	5677	"Barley yellow dwarf virus - PAV"
"Barley yellow dwarf virus-GAV"	5685	"Barley yellow dwarf virus-GAV"
"Barley yellow dwarf virus-PAS"	5695	"Barley yellow dwarf virus-PAS"
"Barley yellow mosaic virus"	11219	"Barley yellow mosaic virus RNA 1"
"Barmah Forest virus"	11488	"Barmah Forest virus"
"Basella rugose mosaic virus"	9804	"Basella rugose mosaic virus"
"Bat adeno-associated virus YNM"	4286	"Bat adeno-associated virus YNM"
"Bat coronavirus (BtCoV/133/2005)"	30307	"Bat coronavirus (BtCoV/133/2005)"
"Bat coronavirus 1A"	28326	"Bat coronavirus 1A"
"Bat coronavirus 1B"	28476	"Bat coronavirus 1B"
"Bat coronavirus BM48-31/BGR/2008"	29276	"Bat coronavirus BM48-31/BGR/2008"
"Bat coronavirus HKU2"	27165	"Bat coronavirus HKU2"
"Bat coronavirus HKU3"	29728	"Bat coronavirus HKU3"
"Bat coronavirus HKU4-1"	30286	"Bat coronavirus HKU4-1"
"Bat coronavirus HKU5-1"	30482	"Bat coronavirus HKU5-1"
"Bat coronavirus HKU8"	28773	"Bat coronavirus HKU8"
"Bat coronavirus HKU9-1"	29114	"Bat coronavirus HKU9-1"
"Bat SARS CoV Rf1/2004"	29709	"Bat SARS CoV Rf1/2004"
"Bat SARS CoV Rm1/2004"	29749	"Bat SARS CoV Rm1/2004"
"Bat SARS CoV Rp3/2004"	29736	"Bat SARS CoV Rp3/2004"
"Bdellovibrio phage"	4594	"Bdellovibrio phage phiMH2K"
"Beak and feather disease virus"	1993	"Beak and feather disease virus"
"Bean calico mosaic virus"	5175	"Bean calico mosaic virus DNA A"
"Bean common mosaic necrosis virus"	9612	"Bean common mosaic necrosis virus"
"Bean common mosaic virus"	9992	"Bean common mosaic virus"
"Bean dwarf mosaic virus"	5191	"Bean dwarf mosaic virus DNA A"
"Bean golden mosaic virus"	5197	"Bean golden mosaic virus DNA A"
"Bean golden yellow mosaic virus"	5232	"Bean golden yellow mosaic virus DNA A"
"Bean leafroll virus"	5964	"Bean leafroll virus"
"Bean pod mottle virus"	9657	"Bean pod mottle virus RNA 1"
"Bean yellow disorder virus"	17495	"Bean yellow disorder virus RNA 1"
"Bean yellow dwarf virus"	2561	"Bean yellow dwarf virus"
"Bean yellow mosaic virus"	9532	"Bean yellow mosaic virus"
"Bear Canyon virus"	10441	"Bear Canyon virus segment L"
"Beet black scorch virus"	4259	"Beet black scorch virus"
"Beet chlorosis virus"	5776	"Beet chlorosis virus"
"Beet cryptic virus"	3791	"Beet cryptic virus 1 RNA 1"
"Beet curly top Iran virus-[K]"	2845	"Beet curly top Iran virus-[K]"
"Beet curly top virus - California [Logan]"	2994	"Beet curly top virus - California [Logan]"
"Beet mild curly top virus - [Worland4]"	2930	"Beet mild curly top virus - [Worland4]"
"Beet mild yellowing virus"	5722	"Beet mild yellowing virus"
"Beet mosaic virus"	9591	"Beet mosaic virus"
"Beet necrotic yellow vein virus"	15914	"Beet necrotic yellow vein virus RNA 1"
"Beet pseudo-yellows virus"	15909	"Beet pseudo-yellows virus RNA 1"
"Beet ringspot virus"	12024	"Beet ringspot virus RNA 1"
"Beet severe curly top virus - Cfh"	2927	"Beet severe curly top virus - Cfh"
"Beet soil-borne mosaic virus"	14222	"Beet soil-borne mosaic virus RNA 2"
"Beet soil-borne virus"	12293	"Beet soil-borne virus RNA 1"
"Beet virus"	11445	"Beet virus Q RNA 1"
"Beet western yellows ST9 associated virus"	2843	"Beet western yellows ST9 associated virus"
"Beet western yellows virus"	5666	"Beet western yellows virus"
"Beet yellows virus"	15480	"Beet yellows virus"
"Begomovirus"	2241	"Begomovirus-associated DNA-II"
"Beilong virus"	19212	"Beilong virus"
"Bell pepper mottle tobamovirus"	6375	"Bell pepper mottle tobamovirus"
"Beluga Whale coronavirus SW1"	31686	"Beluga Whale coronavirus SW1"
"Bettongia penicillata papillomavirus 1"	7737	"Bettongia penicillata papillomavirus 1"
"Bhendi yellow vein Bhubhaneswar virus"	2757	"Bhendi yellow vein Bhubhaneswar virus DNA-A"
"Bhendi yellow vein Delhi virus"	2751	"Bhendi yellow vein Delhi virus [2004:New Delhi] DNA-A"
"Bhendi yellow vein mosaic virus"	4094	"Bhendi yellow vein mosaic virus"
"Bidens mottle virus"	9741	"Bidens mottle virus"
"Bitter gourd leaf curl disease-associated DNA beta"	1354	"Bitter gourd leaf curl disease-associated DNA beta"
"BK polyomavirus"	5153	"BK polyomavirus"
"Black beetle virus"	4505	"Black beetle virus"
"Black queen cell virus"	8550	"Black queen cell virus"
"Black raspberry necrosis virus"	13945	"Black raspberry necrosis virus RNA1"
"Black raspberry virus F"	5077	"Black raspberry virus F"
"Blackberry chlorotic ringspot virus"	8647	"Blackberry chlorotic ringspot virus"
"Blackberry virus Y"	10851	"Blackberry virus Y"
"Blackberry yellow vein-associated virus"	15716	"Blackberry yellow vein-associated virus RNA1"
"Blackcurrant reversion virus"	15548	"Blackcurrant reversion virus RNA 2"
"Blainvillea yellow spot virus"	5300	"Blainvillea yellow spot virus DNA-A"
"Blattella germanica densovirus"	5335	"Blattella germanica densovirus"
"Blotched snakehead virus"	6179	"Blotched snakehead virus"
"Blueberry red ringspot virus"	8303	"Blueberry red ringspot virus"
"Blueberry scorch virus"	8512	"Blueberry scorch virus"
"Bluetongue virus"	19208	"Bluetongue virus segment 1"
"Bocavirus gorilla/GBoV1/2009"	4944	"Bocavirus gorilla/GBoV1/2009"
"Bombyx mandarina nucleopolyhedrovirus"	126770	"Bombyx mandarina nucleopolyhedrovirus"
"Bombyx mori cypovirus"	647	"Bombyx mori cypovirus 1 satellite RNA"
"Bombyx mori densovirus 5"	5078	"Bombyx mori densovirus 5"
"Bombyx mori NPV"	128413	"Bombyx mori NPV"
"Boolarra virus"	4401	"Boolarra virus RNA 2"
"Border disease virus X818"	12333	"Border disease virus X818"
"Bordetella phage"	127794	"Bordetella phage BIP-1"
"Borna disease virus"	8910	"Borna disease virus"
"Botryotinia fuckeliana partitivirus"	4742	"Botryotinia fuckeliana partitivirus 1 RNA1"
"Botryotinia fuckeliana totivirus 1"	5261	"Botryotinia fuckeliana totivirus 1"
"Botrytis cinerea debilitation-related virus"	2805	"Botrytis cinerea debilitation-related virus"
"Botrytis virus F"	6827	"Botrytis virus F"
"Botrytis virus X"	6966	"Botrytis virus X"
"Bougainvillea spectabilis chlorotic vein-banding virus"	8759	"Bougainvillea spectabilis chlorotic vein-banding virus"
"Bovine adeno-associated virus"	4693	"Bovine adeno-associated virus"
"Bovine adenovirus A"	34185	"Bovine adenovirus A"
"Bovine adenovirus B"	68892	"Bovine adenovirus B"
"Bovine adenovirus D"	31301	"Bovine adenovirus D"
"Bovine coronavirus"	31028	"Bovine coronavirus"
"Bovine enterovirus"	7414	"Bovine enterovirus"
"Bovine ephemeral fever virus"	14900	"Bovine ephemeral fever virus"
"Bovine foamy virus"	12002	"Bovine foamy virus"
"Bovine herpesvirus 1"	135301	"Bovine herpesvirus 1"
"Bovine herpesvirus 4"	108873	"Bovine herpesvirus 4"
"Bovine herpesvirus 5"	137821	"Bovine herpesvirus 5"
"Bovine immunodeficiency virus"	8482	"Bovine immunodeficiency virus"
"Bovine kobuvirus"	8374	"Bovine kobuvirus"
"Bovine leukemia virus"	8419	"Bovine leukemia virus"
"Bovine papillomavirus - 1"	7945	"Bovine papillomavirus - 1"
"Bovine papillomavirus - 11"	7251	"Bovine papillomavirus - 11"
"Bovine papillomavirus 3"	7276	"Bovine papillomavirus 3"
"Bovine papillomavirus 8"	7791	"Bovine papillomavirus 8"
"Bovine papillomavirus type 5"	7841	"Bovine papillomavirus type 5"
"Bovine papillomavirus-10"	7399	"Bovine papillomavirus-10"
"Bovine papillomavirus-9"	7303	"Bovine papillomavirus-9"
"Bovine papular stomatitis virus"	134431	"Bovine papular stomatitis virus"
"Bovine parainfluenza virus 3"	15456	"Bovine parainfluenza virus 3"
"Bovine parvovirus"	5517	"Bovine parvovirus"
"Bovine parvovirus 2"	5610	"Bovine parvovirus 2"
"Bovine polyomavirus"	4697	"Bovine polyomavirus"
"Bovine respiratory coronavirus AH187"	30969	"Bovine respiratory coronavirus AH187"
"Bovine respiratory coronavirus bovine/US/OH-440-TC/1996"	30953	"Bovine respiratory coronavirus bovine/US/OH-440-TC/1996"
"Bovine respiratory syncytial virus"	15140	"Bovine respiratory syncytial virus"
"Bovine rhinitis B virus"	7556	"Bovine rhinitis B virus"
"Bovine viral diarrhea virus 1"	12573	"Bovine viral diarrhea virus 1"
"Bovine viral diarrhea virus 3 Th/04_KhonKaen"	12337	"Bovine viral diarrhea virus 3 Th/04_KhonKaen"
"Bovine viral diarrhea virus genotype 2"	12255	"Bovine viral diarrhea virus genotype 2"
"Breda virus"	28475	"Breda virus"
"Brevicoryne brassicae picorna-like virus"	10180	"Brevicoryne brassicae picorna-like virus"
"Broad bean mottle virus"	8250	"Broad bean mottle virus RNA 1"
"Broad bean necrosis virus"	10848	"Broad bean necrosis virus RNA 1"
"Broad bean wilt virus"	18821	"Broad bean wilt virus 1 RNA 1"
"Brome mosaic virus"	8210	"Brome mosaic virus RNA 1"
"Brome streak mosaic virus"	9672	"Brome streak mosaic virus"
"Broome virus"	22727	"Broome virus segment L1"
"Brugmansia mild mottle virus"	6381	"Brugmansia mild mottle virus"
"Brugmansia suaveolens mottle virus"	9870	"Brugmansia suaveolens mottle virus"
"Budgerigar fledgling disease polyomavirus"	4981	"Budgerigar fledgling disease polyomavirus"
"Bundibugyo ebolavirus"	18940	"Bundibugyo ebolavirus"
"Bunyamwera virus L"	6875	"Bunyamwera virus L segment"
"Bunyamwera virus M"	4458	"Bunyamwera virus M segment"
"Bunyamwera virus"	961	"Bunyamwera virus segment S"
"Burkholderia ambifaria phage"	72415	"Burkholderia ambifaria phage BcepF1"
"Burkholderia phage"	944030	"Burkholderia phage Bcep1"
"Burkholderia prophage"	37639	"Burkholderia prophage phi52237"
"Bussuquara virus"	10815	"Bussuquara virus"
"Butterbur mosaic virus"	8662	"Butterbur mosaic virus"
"Cabbage leaf curl virus"	5096	"Cabbage leaf curl virus DNA A"
"Cacao swollen shoot virus"	7161	"Cacao swollen shoot virus"
"Cactus mild mottle virus"	6449	"Cactus mild mottle virus"
"Cactus virus X"	6614	"Cactus virus X"
"Calicivirus isolate Allston 2008/US"	8468	"Calicivirus isolate Allston 2008/US"
"Calicivirus isolate Allston 2009/US"	8468	"Calicivirus isolate Allston 2009/US"
"Calicivirus isolate TCG"	7453	"Calicivirus isolate TCG"
"Calicivirus pig/AB90/CAN"	6434	"Calicivirus pig/AB90/CAN"
"Calicivirus strain NB"	7453	"Calicivirus strain NB"
"California sea lion anellovirus"	2140	"California sea lion anellovirus"
"California sea lion polyomavirus 1"	5112	"California sea lion polyomavirus 1"
"Callitrichine herpesvirus 3"	149696	"Callitrichine herpesvirus 3"
"Camelpox virus"	205719	"Camelpox virus"
"Campoletis sonorensis ichnovirus chromosome"	15812	"Campoletis sonorensis ichnovirus chromosome segment W"
"Campoletis sonorensis ichnovirus"	218501	"Campoletis sonorensis ichnovirus segment B"
"Campoletis sonorensis ichnovirus superhelical"	12421	"Campoletis sonorensis ichnovirus superhelical segment A; CsIV-A"
"Canary circovirus"	1952	"Canary circovirus"
"Canarypox virus"	359853	"Canarypox virus"
"Canine adenovirus"	30536	"Canine adenovirus"
"Canine adenovirus 1"	30536	"Canine adenovirus 1"
"Canine adenovirus type 2"	31323	"Canine adenovirus type 2"
"Canine calicivirus"	8513	"Canine calicivirus"
"Canine distemper virus"	15690	"Canine distemper virus"
"Canine minute virus"	5097	"Canine minute virus"
"Canine oral papillomavirus"	8607	"Canine oral papillomavirus"
"Canine papillomavirus 2"	8101	"Canine papillomavirus 2"
"Canine papillomavirus 3"	7801	"Canine papillomavirus 3"
"Canine papillomavirus 4"	7742	"Canine papillomavirus 4"
"Canine papillomavirus 5"	7810	"Canine papillomavirus 5"
"Canine papillomavirus 6"	8242	"Canine papillomavirus 6"
"Canine papillomavirus 7"	7412	"Canine papillomavirus 7"
"Canine parvovirus"	5323	"Canine parvovirus"
"Canna Yellow Streak Virus"	9502	"Canna Yellow Streak Virus"
"Capra hircus papillomavirus type 1"	7542	"Capra hircus papillomavirus type 1"
"Caprine arthritis-encephalitis virus"	9189	"Caprine arthritis-encephalitis virus"
"Capsicum chlorosis virus"	17212	"Capsicum chlorosis virus segment L"
"Cardamine chlorotic fleck virus"	4041	"Cardamine chlorotic fleck virus"
"Cardiospermum yellow leaf curl virus"	1338	"Cardiospermum yellow leaf curl virus satellite DNA beta"
"Caretta caretta papillomavirus 1"	7020	"Caretta caretta papillomavirus 1"
"Carnation etched ring virus"	7932	"Carnation etched ring virus"
"Carnation Italian ringspot virus"	4760	"Carnation Italian ringspot virus"
"Carnation mottle virus"	4003	"Carnation mottle virus"
"Carnation ringspot virus"	5243	"Carnation ringspot virus RNA 1"
"Carrot mottle mimic virus"	4201	"Carrot mottle mimic virus"
"Carrot red leaf luteovirus"	2835	"Carrot red leaf luteovirus associated RNA"
"Carrot red leaf virus"	5723	"Carrot red leaf virus"
"Carrot yellow leaf virus"	16354	"Carrot yellow leaf virus"
"Casphalia extranea densovirus"	5002	"Casphalia extranea densovirus"
"Cassava brown streak virus"	9069	"Cassava brown streak virus"
"Cassava common mosaic virus"	6376	"Cassava common mosaic virus"
"Cassava vein mosaic virus"	8159	"Cassava vein mosaic virus"
"Cassava virus C"	4835	"Cassava virus C"
"Cassia yellow blotch virus"	7989	"Cassia yellow blotch virus RNA1"
"Cauliflower mosaic virus"	8024	"Cauliflower mosaic virus"
"Caviid herpesvirus 2"	232678	"Caviid herpesvirus 2"
"Cell fusing agent virus"	10695	"Cell fusing agent virus"
"Ceratocystis polonica partitivirus"	4567	"Ceratocystis polonica partitivirus"
"Ceratocystis resinifera partitivirus"	4512	"Ceratocystis resinifera partitivirus RNA 1"
"Cercopithecine herpesvirus 2"	150715	"Cercopithecine herpesvirus 2"
"Cercopithecine herpesvirus 5"	226204	"Cercopithecine herpesvirus 5"
"Cercopithecine herpesvirus 9"	124784	"Cercopithecine herpesvirus 9"
"Cereal yellow dwarf virus-RPS"	5662	"Cereal yellow dwarf virus-RPS"
"Cereal yellow dwarf virus-RPV"	5723	"Cereal yellow dwarf virus-RPV"
"Cereal yellow dwarf virus"	322	"Cereal yellow dwarf virus-RPV satellite RNA"
"Cestrum yellow leaf curling virus"	8253	"Cestrum yellow leaf curling virus"
"Chaetoceros salsugineum DNA virus"	6000	"Chaetoceros salsugineum DNA virus"
"Chaetoceros socialis f. radians RNA virus"	9467	"Chaetoceros socialis f. radians RNA virus segment 1"
"Chalara elegans RNA Virus 1"	5310	"Chalara elegans RNA Virus 1"
"Chapare virus"	10464	"Chapare virus segment L"
"Chayote mosaic virus"	6364	"Chayote mosaic virus"
"Chayote yellow mosaic virus"	2787	"Chayote yellow mosaic virus"
"Chelonia mydas papillomavirus 1"	6953	"Chelonia mydas papillomavirus 1"
"Cherry green ring mottle virus"	8372	"Cherry green ring mottle virus"
"Cherry mottle leaf virus"	8018	"Cherry mottle leaf virus"
"Cherry necrotic rusty mottle virus"	8432	"Cherry necrotic rusty mottle virus"
"Cherry rasp leaf virus"	10349	"Cherry rasp leaf virus"
"Cherry virus A"	7383	"Cherry virus A"
"Chicken anemia virus"	2319	"Chicken anemia virus"
"Chicken astrovirus"	6927	"Chicken astrovirus"
"Chickpea chlorotic dwarf Sudan virus"	2572	"Chickpea chlorotic dwarf Sudan virus"
"Chickpea chlorotic dwarf virus"	2584	"Chickpea chlorotic dwarf virus"
"Chickpea chlorotic stunt virus"	5900	"Chickpea chlorotic stunt virus"
"Chicory yellow mottle virus"	2767	"Chicory yellow mottle virus large satellite RNA"
"Chikungunya virus"	11826	"Chikungunya virus"
"Chilli leaf curl disease associated sequence virion"	1387	"Chilli leaf curl disease associated sequence virion"
"Chilli leaf curl Multan alphasatellite"	1369	"Chilli leaf curl Multan alphasatellite"
"Chilli leaf curl virus"	2754	"Chilli leaf curl virus"
"Chilli veinal mottle virus"	9711	"Chilli veinal mottle virus"
"Chiltepin yellow mosaic virus"	6517	"Chiltepin yellow mosaic virus"
"Chinese wheat mosaic virus"	10716	"Chinese wheat mosaic virus RNA1"
"Chino del tomate virus"	5213	"Chino del tomate virus DNA A"
"Chlamydia phage"	27585	"Chlamydia phage 3"
"Chloris striate mosaic virus"	2750	"Chloris striate mosaic virus"
"Choristoneura fumiferana DEF MNPV"	131160	"Choristoneura fumiferana DEF MNPV"
"Choristoneura fumiferana MNPV"	129593	"Choristoneura fumiferana MNPV"
"Choristoneura occidentalis granulovirus"	104710	"Choristoneura occidentalis granulovirus"
"Chronic bee paralysis virus"	5979	"Chronic bee paralysis virus RNA 1"
"Chrysanthemum virus B"	8855	"Chrysanthemum virus B"
"Chrysodeixis chalcites nucleopolyhedrovirus"	149622	"Chrysodeixis chalcites nucleopolyhedrovirus"
"Chum salmon reovirus CS"	3637	"Chum salmon reovirus CS segment 5"
"Chuzan virus"	18915	"Chuzan virus segment  3"
"Circovirus-like genome BBC-A"	1815	"Circovirus-like genome BBC-A"
"Circovirus-like genome CB-A"	2160	"Circovirus-like genome CB-A"
"Circovirus-like genome CB-B"	2757	"Circovirus-like genome CB-B"
"Circovirus-like genome RW-A"	2162	"Circovirus-like genome RW-A"
"Circovirus-like genome RW-B"	2819	"Circovirus-like genome RW-B"
"Circovirus-like genome RW-C"	1803	"Circovirus-like genome RW-C"
"Circovirus-like genome RW-D"	2072	"Circovirus-like genome RW-D"
"Circovirus-like genome RW-E"	2782	"Circovirus-like genome RW-E"
"Circovirus-like genome SAR-A"	1739	"Circovirus-like genome SAR-A"
"Circovirus-like genome SAR-B"	1833	"Circovirus-like genome SAR-B"
"Circulifer tenellus virus 1"	8086	"Circulifer tenellus virus 1"
"Citrus leaf blotch virus"	8747	"Citrus leaf blotch virus"
"Citrus leaf rugose virus"	8683	"Citrus leaf rugose virus RNA 1"
"Citrus leprosis virus"	13731	"Citrus leprosis virus C RNA-1"
"Citrus psorosis virus"	11278	"Citrus psorosis virus RNA1"
"Citrus sudden death-associated virus"	6820	"Citrus sudden death-associated virus"
"Citrus tristeza virus"	19296	"Citrus tristeza virus"
"Citrus variegation virus"	8656	"Citrus variegation virus chromosome RNA 3"
"Citrus yellow mosaic virus"	7559	"Citrus yellow mosaic virus"
"Clanis bilineata nucleopolyhedrosis virus"	135454	"Clanis bilineata nucleopolyhedrosis virus"
"Classical swine fever virus"	12301	"Classical swine fever virus"
"Clavibacter phage"	58652	"Clavibacter phage CMP1"
"Clerodendron yellow mosaic virus"	2760	"Clerodendron yellow mosaic virus"
"Clerodendrum golden mosaic China virus"	5515	"Clerodendrum golden mosaic China virus DNA A"
"Clerodendrum golden mosaic virus"	5524	"Clerodendrum golden mosaic virus DNA-A"
"Clostridium phage"	516027	"Clostridium phage 39-O"
"Clover yellow mosaic virus"	7015	"Clover yellow mosaic virus"
"Clover yellow vein virus"	9584	"Clover yellow vein virus"
"Cocksfoot mild mosaic virus"	4198	"Cocksfoot mild mosaic virus"
"Cocksfoot mottle virus"	4082	"Cocksfoot mottle virus"
"Cocksfoot streak virus"	9663	"Cocksfoot streak virus"
"Coconut foliar decay virus"	1291	"Coconut foliar decay virus"
"Coleus vein necrosis virus"	8727	"Coleus vein necrosis virus"
"Colorado tick fever virus"	29174	"Colorado tick fever virus segment 1"
"Columbid circovirus"	2037	"Columbid circovirus"
"Commelina yellow mottle virus"	7489	"Commelina yellow mottle virus"
"Common chimpanzee papillomavirus 1"	7889	"Common chimpanzee papillomavirus 1"
"Coniothyrium minitans RNA virus"	4975	"Coniothyrium minitans RNA virus"
"Corchorus golden mosaic virus"	5326	"Corchorus golden mosaic virus DNA-A"
"Corchorus yellow spot virus"	5195	"Corchorus yellow spot virus DNA A"
"Corchorus yellow vein virus"	5415	"Corchorus yellow vein virus - [Hoa Binh] DNA A"
"Corynebacterium phage"	113548	"Corynebacterium phage BFK20"
"Cote d'Ivoire ebolavirus"	18935	"Cote d'Ivoire ebolavirus"
"Cotesia congregata bracovirus"	490552	"Cotesia congregata bracovirus segment Circle1"
"Cotesia congregata virus"	77118	"Cotesia congregata virus segment Circle18"
"Cotton leaf crumple geminivirus"	2550	"Cotton leaf crumple geminivirus DNA B"
"Cotton leaf crumple virus"	2630	"Cotton leaf crumple virus DNA A"
"Cotton leaf curl Alabad virus"	2744	"Cotton leaf curl Alabad virus"
"Cotton leaf curl Bangalore virus"	4106	"Cotton leaf curl Bangalore virus segment A"
"Cotton leaf curl Burewala alphasatellite"	1366	"Cotton leaf curl Burewala alphasatellite"
"Cotton leaf curl Burewala betasatellite"	1354	"Cotton leaf curl Burewala betasatellite"
"Cotton leaf curl Burewala virus - [India:Vehari:2004]"	2759	"Cotton leaf curl Burewala virus - [India:Vehari:2004]"
"Cotton leaf curl Gezira alphasatellite"	1387	"Cotton leaf curl Gezira alphasatellite"
"Cotton leaf curl Gezira beta"	1349	"Cotton leaf curl Gezira beta"
"Cotton leaf curl Gezira betasatellite"	1348	"Cotton leaf curl Gezira betasatellite"
"Cotton leaf curl Gezira betasatellite extrachromosomal"	1348	"Cotton leaf curl Gezira betasatellite extrachromosomal"
"Cotton leaf curl Gezira virus"	2764	"Cotton leaf curl Gezira virus"
"Cotton leaf curl Kokhran virus"	2748	"Cotton leaf curl Kokhran virus"
"Cotton leaf curl Multan virus"	4097	"Cotton leaf curl Multan virus"
"Cotton leaf curl Multan virus satellite U36-1"	1350	"Cotton leaf curl Multan virus satellite U36-1"
"Cotton leaf curl Rajasthan virus"	2754	"Cotton leaf curl Rajasthan virus segment A"
"Cotton leaf curl virus"	1351	"Cotton leaf curl virus-associated DNA beta"
"Cottontail rabbit papillomavirus"	7868	"Cottontail rabbit papillomavirus"
"Cowpea aphid-borne mosaic virus"	9465	"Cowpea aphid-borne mosaic virus"
"Cowpea chlorotic mottle virus"	8118	"Cowpea chlorotic mottle virus RNA 1"
"Cowpea mosaic virus"	9370	"Cowpea mosaic virus RNA 1"
"Cowpea mottle virus"	4029	"Cowpea mottle virus"
"Cowpea severe leaf curl-associated DNA beta"	1379	"Cowpea severe leaf curl-associated DNA beta"
"Cowpea severe mosaic virus"	9689	"Cowpea severe mosaic virus RNA 1"
"Cowpox virus"	224499	"Cowpox virus"
"Crassocephalum yellow vein virus - Jinghong"	2745	"Crassocephalum yellow vein virus - Jinghong"
"Cricket paralysis virus"	9185	"Cricket paralysis virus"
"Crimean-Congo hemorrhagic fever virus"	19146	"Crimean-Congo hemorrhagic fever virus segment L"
"Crocodilepox virus"	190054	"Crocodilepox virus"
"Croton yellow vein mosaic alphasatellite"	1347	"Croton yellow vein mosaic alphasatellite"
"Croton yellow vein mosaic virus"	4103	"Croton yellow vein mosaic virus"
"Croton yellow vein virus"	2744	"Croton yellow vein virus"
"Crow polyomavirus"	5079	"Crow polyomavirus"
"Crucifer tobamovirus"	6298	"Crucifer tobamovirus"
"Cryphonectria hypovirus 1"	12734	"Cryphonectria hypovirus 1"
"Cryphonectria hypovirus 2"	12507	"Cryphonectria hypovirus 2"
"Cryphonectria hypovirus 3"	9799	"Cryphonectria hypovirus 3"
